                     མཚན་བྱང་།,            ཤོག་གྲངས།,1,           མཆན་གྲངས།,       པར་མ།,                                                                        མཆན།,
,64,32,1,《པེ་》《སྣར་》,མངས།,
,,33,2,《པེ་》《སྣར་》,མེད།,
,,34,3,《སྣར་》,གཟུང་།,
,,35,4,《པེ་》《སྣར་》,འདུ་ཤེས་ཅན།,
,,36,5,《པེ་》《སྣར་》,mནམ་མཁའ་ཡས་…..རྣམས་ནི་འདི་ལྟ་སྟེ།,
,,37,6,《སྣར་》,གཟུང་།,
,,38,7,《པེ་》《སྣར་》,mའདུ་ཤེས་མེད།,
,,39,8,《པེ་》《སྣར་》,mནི།,
,65,40,1,《པེ་》《སྣར་》,mནི།,
,,41,2,《པེ་》《སྣར་》,pཡིན།,
,,42,3,《པེ་》《སྣར་》,mབར་བྱ།,
,,43,4,《སྣར་》,པའོ།,
,,44,5,《པེ་》《སྣར་》,རྟོག,
,,45,6,《པེ་》《སྣར་》,བྱ་བའི་ཕྱིར་རོ།,
,66,46,1,《པེ་》《སྣར་》,བསྒོམ།,
,,47,2,《སྣར་》,ཀྱི།,
,,48,3,《སྣར་》,རིག,
,,49,4,《པེ་》《སྣར་》,རྫི།,
,,50,5,《པེ་》《སྣར་》,pགི།,
,,51,6,《པེ་》《སྣར་》,བསྒྱུར།,
,67,52,1,《པེ་》《སྣར་》,འབྲལ།,
,,53,2,《སྣར་》,pནི།,
,,54,3,《པེ་》《སྣར་》,mཤེས།,
,,55,4,《སྣར་》,mན།,
,,56,5,《སྣར་》,མ།,
,,57,6,《པེ་》《སྣར་》,mཀྱི།,
,,58,7,《པེ་》《སྣར་》,mནི།,
,,59,8,《པེ་》《སྣར་》,བརྟགས།,
,68,60,1,《པེ་》《སྣར་》,རིག,
,,61,2,《སྣར་》,བསྒོམ།,
,,62,3,《པེ་》《སྣར་》,གྱིས།,
,,63,4,《པེ་》《སྣར་》,ཀྱི།,
,,64,5,《པེ་》《སྣར་》,mརྣམ་པར།,
,,65,6,《པེ་》《སྣར་》,བརྟེན།,
,,66,7,《པེ་》《སྣར་》,རྟོན།,
,69,67,1,《པེ་》《སྣར་》,mནི།,
,,68,2,《པེ་》《སྣར་》,རྟོན།,
,,69,3,《པེ་》《སྣར་》,རྟོན།,
,,70,4,《པེ་》《སྣར་》,ཉམས།,
,,71,5,《པེ་》《སྣར་》,སྤངས་ཏེ།,
,,72,6,《པེ་》《སྣར་》,mཕྱིར།,
,,73,7,《པེ་》《སྣར་》,ཆེན།,
,,74,8,《པེ་》《སྣར་》,ཡིད།,
,,75,9,《པེ་》《སྣར་》,mདང་བ་དང།,
,,76,10,《པེ་》《སྣར་》,བཅོལ།,
,,77,11,《པེ་》《སྣར་》,བསྒྲུབ་ཏེ་དུས།,
,70,78,1,《པེ་》《སྣར་》,mབྱ་བ།,
,,79,2,《པེ་》《སྣར་》,འཕྲོས།,
,,80,3,《པེ་》《སྣར་》,mགི།,
,71,81,1,《པེ་》《སྣར་》,ཉམས།,
,,82,2,《པེ་》《སྣར་》,འདུལ།,
,,83,3,《པེ་》《སྣར་》,པ།,
,,84,4,《པེ་》《སྣར་》,mཔ་དང་སོ་སོར་ཐར།,
,72,85,1,《པེ་》《སྣར་》,mཤེས་བཞིན་དང་ལྡན་པ་ནི་ལྟུང་བའི་གཉེན་པོ་བསྒོམ་པའོ།།,
,,86,2,《པེ་》《སྣར་》,སྤངས་ཏེ།,
,,87,3,《སྣར་》,པ་ནི།,
,,88,4,《པེ་》《སྣར་》,རྟོགས།,
,73,89,1,《པེ་》《སྣར་》,ཐོས།,
,,90,2,《པེ་》《སྣར་》,mདེ་ལ་རྣམ་པར་འབྱེད་པ་ནི་…..རྣམ་པར་ཕྱེ་བ་འཛིན་པའོ།།,
,,91,3,《པེ་》《སྣར་》,དེ།,
,,92,4,《པེ་》《སྣར་》,ཉེས་པར།,
,74,93,1,《པེ་》《སྣར་》,རྟོགས།,
,,94,2,《པེ་》《སྣར་》,གི།,
,,95,3,《སྣར་》,རྟོགས།,
,,96,4,《སྣར་》,mཏུ།,
,,97,5,《པེ་》《སྣར་》,mཔར།,
,75,98,1,《པེ་》《སྣར་》,བརྒལ།,
,,99,2,《པེ་》《སྣར་》,པར།,
,,100,3,《སྣར་》,mཔ།,
,,101,4,《སྣར་》,ལྡོག,
,,102,5,《པེ་》《སྣར་》,pམི།,
,76,103,1,《སྣར་》,བསྒྲུབ།,
,,104,2,《པེ་》,བསྡེབས།,《སྣར་》,བསྡེབ།
,,105,3,《པེ་》《སྣར་》,གྱིས།,
,,106,4,《པེ་》《སྣར་》,mདང་།,
,77,107,1,《སྣར་》,སྣ།,
,,108,2,《པེ་》《སྣར་》,བྱ།,
,,109,3,《པེ་》,བསླབས།,
,78,110,1,《པེ་》《སྣར་》,བརྟུན།,
,,111,2,《པེ་》,རབ་ཏུ་ནང་དུ་གནོད།,《སྣར་》,ཅན་རབ་ཏུ་ནང་དུ་གནོད།
,,112,3,《སྣར་》,ཀྱིས།,
,,113,4,《པེ་》《སྣར་》,པོ།,
,,114,5,《པེ་》《སྣར་》,mཅན།,
,,115,6,《པེ་》《སྣར་》,སླེབས།,
,,116,7,《སྣར་》,ཀྱི།,
,79,117,1,《པེ་》,ཉིད།,
,,118,2,《པེ་》《སྣར་》,བརྒལ།,
,,119,3,《པེ་》《སྣར་》,རྟོགས།,
,,120,4,《པེ་》《སྣར་》,བཀོང་བ།,
,,121,5,《པེ་》《སྣར་》,བརྒལ།,
,,122,6,《པེ་》《སྣར་》,བརྒལ།,
,,123,7,《པེ་》《སྣར་》,བརྒལ།,
,,124,8,《པེ་》《སྣར་》,mདེ།,
,,125,9,《པེ་》《སྣར་》,mཔ།,
,,126,10,《པེ་》《སྣར་》,བརྟགས།,
,,127,11,《པེ་》《སྣར་》,ནི།,
,,128,12,《པེ་》《སྣར་》,pདང་།,
,,129,13,《པེ་》《སྣར་》,mདེ།,
,80,130,1,《སྣར་》,pབ།,
,,131,2,《སྣར་》,mམ།,
,,132,3,《པེ་》《སྣར་》,འགགས།,
,,133,4,《པེ་》《སྣར་》,འགག,
,,134,5,《པེ་》《སྣར་》,mབ།,
,,135,6,《པེ་》《སྣར་》,mན།,
,,136,7,《པེ་》《སྣར་》,mལ།,
,,137,8,《པེ་》《སྣར་》,བསྐྱེད།,
,,138,9,《པེ་》《སྣར་》,mདེ།,
,81,139,1,《པེ་》《སྣར་》,བདག,
,,140,2,《པེ་》,mདེ།,
,,141,3,《པེ་》《སྣར་》,pནི།,
,,142,4,《པེ་》《སྣར་》,གྱུར།,
,,143,5,《པེ་》《སྣར་》,སྟེན།,
,,144,6,《པེ་》《སྣར་》,mདག,
,,145,7,《པེ་》《སྣར་》,གྱུར་པའོ།,
,82,146,1,《པེ་》《སྣར་》,པ།,
,,147,2,《པེ་》《སྣར་》,སྤངས་པའི།,
,,148,3,《པེ་》《སྣར་》,དེ།,
,,149,4,《སྣར་》,ཚང་བར།,
,,150,5,《པེ་》《སྣར་》,སྤངས་པའོ།,
,83,151,1,《པེ་》《སྣར་》,བར།,
,,152,2,《པེ་》《སྣར་》,mཔ་དང་ལྡན།,
,,153,3,《པེ་》《སྣར་》,pཔ་དང་ལྡན།,
,,154,4,《པེ་》《སྣར་》,བུས་སོ།,
,,155,5,《པེ་》《སྣར་》,mདུ།,
,,156,6,《པེ་》《སྣར་》,pམང་།,
,,157,7,《པེ་》《སྣར་》,པའི།,
,,158,8,《པེ་》《སྣར་》,pདོན་དང་།,
,,159,9,《སྣར་》,པའི།,
,,160,10,《པེ་》《སྣར་》,mལ།,
,,161,11,《པེ་》《སྣར་》,བསྒྲུབ།,
,84,162,1,《སྣར་》,mན།,
,,163,2,《པེ་》《སྣར་》,mཔ།,
,,164,3,《པེ་》《སྣར་》,དང་།,
,,165,4,《སྣར་》,བཀྲིས།,
,,166,5,《པེ་》《སྣར་》,ཉལ་ལོ།,
,,167,6,《པེ་》《སྣར་》,རྒྱུ།,
,,168,7,《པེ་》《སྣར་》,བདག་ཏུ།,
,,169,8,《སྣར་》,བཀྲིས།,
,85,170,1,《པེ་》《སྣར་》,pཔ།,
,,171,2,《པེ་》《སྣར་》,ཟློག,
,,172,3,《པེ་》《སྣར་》,ཆགས།,
,,173,4,《པེ་》《སྣར་》,mརྟེན།,
,,174,5,《པེ་》《སྣར་》,mདེར།,
,86,175,1,《སྣར་》,རིགས།,
,,176,2,《པེ་》《སྣར་》,པ།,
,,177,3,《པེ་》《སྣར་》,བསྒོམས།,
,,178,4,《པེ་》《སྣར་》,pསྟེའམ།,
,,179,5,《པེ་》《སྣར་》,བ།,
,,180,6,《པེ་》,པའི་ཡིད་ལས།,《སྣར་》,པའི་ཡིད་ལ།
,87,181,1,《པེ་》《སྣར་》,བྱེད།,
,,182,2,《པེ་》《སྣར་》,mནི།,
,,183,3,《པེ་》《སྣར་》,mབྱེད།,
,,184,4,《པེ་》《སྣར་》,རྟོག,
,,185,5,《པེ་》《སྣར་》,བ།,
,,186,6,《པེ་》《སྣར་》,mམི།,
,88,187,1,《པེ་》《སྣར་》,པ།,
,,188,2,《པེ་》《སྣར་》,སོ།,
,,189,3,《པེ་》《སྣར་》,གིས།,
,,190,4,《པེ་》《སྣར་》,གཡོག,
,,191,5,《པེ་》《སྣར་》,mཡིན།,
,,192,6,《པེ་》《སྣར་》,གཞི།,
,,193,7,《པེ་》《སྣར་》,དག་པ།,
,,194,8,《པེ་》《སྣར་》,འདྲེས།,
,,195,9,《པེ་》《སྣར་》,བསྟིའི།,
,89,196,1,《པེ་》《སྣར་》,pདང་།,
,,197,2,《པེ་》《སྣར་》,mདང་།,
,,198,3,《སྣར་》,གྱི།,
,,199,4,《པེ་》《སྣར་》,pམི།,
,90,200,1,《པེ་》《སྣར་》,བཟུང་།,
,,201,2,《སྣར་》,འགོགས།,
,,202,3,《པེ་》《སྣར་》,བསམས།,
,91,203,1,《པེ་》《སྣར་》,ཕྱིར་སྤངས་པ།,
,,204,2,《སྣར་》,བཀྲིས།,
,,205,3,《སྣར་》,བོད།,
,,206,4,《པེ་》《སྣར་》,བཞི།,
,,207,5,《པེ་》《སྣར་》,བསླུ།,
,,208,6,《པེ་》《སྣར་》,བསླུ།,
,,209,7,《པེ་》《སྣར་》,བསླུ།,
,,210,8,《པེ་》《སྣར་》,བསླུ།,
,92,211,1,《པེ་》《སྣར་》,གིས།,
,,212,2,《པེ་》《སྣར་》,ལས།,
,,213,3,《པེ་》《སྣར་》,པ།,
,,214,4,《པེ་》《སྣར་》,mཀྱིས།,
,,215,5,《པེ་》《སྣར་》,བྱའོ།,
,,216,6,《སྣར་》,pདང་།,
,,217,7,《པེ་》《སྣར་》,དང་།,
,,218,8,《པེ་》《སྣར་》,བོད་པར།,
,,219,9,《པེ་》《སྣར་》,བཏང་།,
,,220,10,《པེ་》《སྣར་》,སྦྱོར།,
,,221,11,《སྣར་》,འདུས།,
,,222,12,《པེ་》《སྣར་》,བླངས་པར།,
,93,223,1,《པེ་》《སྣར་》,གཞན།,
,,224,2,《པེ་》《སྣར་》,mདང་།,
,,225,3,《པེ་》《སྣར་》,ནི།,
,,226,4,《པེ་》《སྣར་》,འབྱུང་།,
,,227,5,《པེ་》《སྣར་》,ན།,
,,228,6,《པེ་》《སྣར་》,འབྱེད་པར།,
,,229,7,《པེ་》《སྣར་》,གྱུར་པའོ།,
,,230,8,《པེ་》,བསྐྱེད།,
,,231,9,《པེ་》《སྣར་》,ལས།,
,,232,10,《པེ་》《སྣར་》,སྤངས་པའོ།,
,,233,11,《སྣར་》,ཀྱི།,
,,234,12,《པེ་》《སྣར་》,བྱའོ།,
,94,235,1,《པེ་》《སྣར་》,pབྱ།,
,,236,2,《པེ་》《སྣར་》,ནུས།,
,,237,3,《པེ་》《སྣར་》,བཀོང་།,
,,238,4,《སྣར་》,གི།,
,,239,5,《པེ་》《སྣར་》,བལྟོས།,
,,240,6,《པེ་》《སྣར་》,ཀྱིས།,
,,241,7,《པེ་》《སྣར་》,འཁྲུགས།,
,,242,8,《པེ་》《སྣར་》,བརྩམས།,
,95,243,1,《པེ་》《སྣར་》,ཀྱི།,
,,244,2,《སྣར་》,རྟོག,
,,245,3,《པེ་》《སྣར་》,བསྟི།,
,,246,4,《པེ་》《སྣར་》,བརྟེན།,
,,247,5,《པེ་》《སྣར་》,mདེ།,
,,248,6,《པེ་》《སྣར་》,འདུ།,
,,249,7,《སྣར་》,བསྟན།,
,,250,8,《པེ་》《སྣར་》,གྱུར་པས།,
,,251,9,《པེ་》《སྣར་》,ཉན།,
,,252,10,《སྣར་》,རྟོག,
,,253,11,《པེ་》《སྣར་》,གསལ།,
,96,254,1,《པེ་》《སྣར་》,mལ།,
,,255,2,《པེ་》《སྣར་》,pཚིག་དང་།,
,,256,3,《པེ་》《སྣར་》,pབྱ།,
,,257,4,《པེ་》《སྣར་》,མཐོ་མི་འཚམ།,
,,258,5,《པེ་》《སྣར་》,བ་བསྟད།,
,,259,6,《པེ་》《སྣར་》,བསྟད།,
,,260,7,《པེ་》《སྣར་》,mཡང་དག་པར་མི་རིགས་པ་དང་།,
,,261,8,《པེ་》《སྣར་》,རྟོགས།,
,,262,9,《པེ་》《སྣར་》,བྱའོ།,
,,263,10,《པེ་》《སྣར་》,ཀྱིས།,
,97,264,1,《པེ་》《སྣར་》,mདུ།,
,,265,2,《པེ་》《སྣར་》,mདང་།,
,,266,3,《པེ་》《སྣར་》,པར།,
,,267,4,《པེ་》《སྣར་》,mབྱ་བ།,
,,268,5,《སྣར་》,པའི།,
,,269,6,《པེ་》《སྣར་》,mབྱ་བ་ནི།,
,,270,7,《པེ་》《སྣར་》,pཔ།,
,,271,8,《པེ་》《སྣར་》,པ།,
,98,272,1,《པེ་》《སྣར་》,པར།,
,,273,2,《པེ་》《སྣར་》,ཏོ།།,
,,274,3,《པེ་》《སྣར་》,ཀྱི།,
,,275,4,《པེ་》《སྣར་》,pཔ།,
,,276,5,《པེ་》《སྣར་》,mཕྱི་མ།,
,,277,6,《སྣར་》,རིགས།,
,,278,7,《པེ་》《སྣར་》,mནི།,
,,279,8,《པེ་》《སྣར་》,རྟོགས།,
,,280,9,《པེ་》《སྣར་》,རྟོགས།,
,,281,10,《པེ་》《སྣར་》,བཟློགས།,
,,282,11,《པེ་》,འབྲེས་པ།,《སྣར་》,འབྲེལ་པ།
,99,283,1,《པེ་》《སྣར་》,བསམ།,
,,284,2,《པེ་》《སྣར་》,mཔ།,
,,285,3,《པེ་》《སྣར་》,སྒོམ།,
,,286,4,《པེ་》,ཀྱིས།,
,,287,5,《པེ་》《སྣར་》,སྤངས་པའི།,
,100,288,1,《པེ་》《སྣར་》,ལ།,
,,289,2,《པེ་》《སྣར་》,སྐྱོད།,
,,290,3,《པེ་》《སྣར་》,སྡུག,
,,291,4,《པེ་》《སྣར་》,སྐྱབས།,
,,292,5,《པེ་》《སྣར་》,སྐྱོད།,
,,293,6,《པེ་》《སྣར་》,པར།,
,,294,7,《པེ་》《སྣར་》,ལ།,
,,295,8,《པེ་》《སྣར་》,སྤྱད།,
,101,296,1,《པེ་》《སྣར་》,mདང་།,
,,297,2,《པེ་》《སྣར་》,pགྱི།,
,,298,3,《པེ་》《སྣར་》,པ།,
,,299,4,《པེ་》《སྣར་》,པའི།,
,,300,5,《པེ་》《སྣར་》,mནི།,
,,301,6,《པེ་》《སྣར་》,རྟོགས།,
,102,302,1,《པེ་》《སྣར་》,བ་ནི།,
,,303,2,《པེ་》《སྣར་》,mན།,
,,304,3,《པེ་》《སྣར་》,གསུང་བ།,
,,305,4,《པེ་》《སྣར་》,འཇིགས།,
,,306,5,《པེ་》《སྣར་》,སྦྱོར།,
,103,307,1,《པེ་》《སྣར་》,རྟོགས།,
,,308,2,《པེ་》,རྟོགས།,
,,309,3,《པེ་》《སྣར་》,འབྱུང་།,
,,310,4,《པེ་》《སྣར་》,བསྒྱུར།,
,,311,5,《སྣར་》,དེ་ནི།,
,,312,6,《པེ་》《སྣར་》,བཏགས།,
,104,313,1,《པེ་》《སྣར་》,གཏོད།,
,,314,2,《སྣར་》,དང་།,
,,315,3,《པེ་》《སྣར་》,mཉེ་བར་འགྲོ་བའི།,
,,316,4,《པེ་》《སྣར་》,འཇུག,
,105,317,1,《པེ་》《སྣར་》,མཚམ།,
,,318,2,《པེ་》《སྣར་》,mཀྱི་བར།,
,,319,3,《པེ་》《སྣར་》,པར།,
,,320,4,《པེ་》《སྣར་》,བརྙིངས།,
,,321,5,《པེ་》《སྣར་》,གཉིས།,
,,322,6,《པེ་》《སྣར་》,ཁོམ།,
,,323,7,《པེ་》《སྣར་》,དགུ།,
,,324,8,《པེ་》《སྣར་》,ཞེས་བྱ་བ།,
,,325,9,《པེ་》《སྣར་》,དགུ།,
,,326,10,《པེ་》《སྣར་》,འཆག,
,106,327,1,《པེ་》《སྣར་》,རྒུ།,
,,328,2,《པེ་》《སྣར་》,བརྙིངས།,
,,329,3,《པེ་》《སྣར་》,བརྙིངས།,
,,330,4,《པེ་》《སྣར་》,pཉིད།,
,,331,5,《པེ་》《སྣར་》,mཞིག,
,,332,6,《པེ་》《སྣར་》,འགགས།,
,,333,7,《པེ་》《སྣར་》,པར།,
,107,334,1,《པེ་》《སྣར་》,འགྱུར་བ།,
,,335,2,《པེ་》《སྣར་》,པར།,
,,336,3,《པེ་》《སྣར་》,མྱང་།,
,,337,4,《པེ་》《སྣར་》,འབྱུང་།,
,108,338,1,《པེ་》《སྣར་》,གི།,
,,339,2,《པེ་》《སྣར་》,ནོ།,
,,340,3,《པེ་》《སྣར་》,ལས།,
,,341,4,《པེ་》《སྣར་》,mཟེར་བའམ།,
,109,342,1,《པེ་》《སྣར་》,དོ།,
,,343,2,《པེ་》《སྣར་》,སོ།,
,,344,3,《པེ་》《སྣར་》,mངོ་བོའི།,
,,345,4,《པེ་》《སྣར་》,ཉེ་བར།,
,,346,5,《པེ་》《སྣར་》,གྱི།,
,,347,6,《པེ་》《སྣར་》,གསད།,
,,348,7,《པེ་》《སྣར་》,སྤྱོད་པ་དང་སྤྱུག,
,,349,8,《པེ་》《སྣར་》,mལ།,
,110,350,1,《པེ་》《སྣར་》,pབར།,
,,351,2,《པེ་》《སྣར་》,འཆད།,
,,352,3,《པེ་》《སྣར་》,mཔ།,
,,353,4,《པེ་》《སྣར་》,pན་བ་དང་།,
,,354,5,《པེ་》《སྣར་》,པ།,
,111,355,1,《སྣར་》,གི།,
,,356,2,《པེ་》《སྣར་》,mཡན་ལག,
,,357,3,《པེ་》《སྣར་》,བཀྱེད།,
,,358,4,《པེ་》《སྣར་》,ཏེ།,
,112,359,1,《པེ་》《སྣར་》,འཐབས།,
,,360,2,《པེ་》《སྣར་》,mན།,
,,361,3,《སྣར་》,བགོས།,
,,362,4,《པེ་》《སྣར་》,བཤད་པ།,
,,363,5,《པེ་》《སྣར་》,བྱའོ།,
,,364,6,《པེ་》《སྣར་》,mཔ།,
,,365,7,《སྣར་》,བསྐུར།,
,,366,8,《པེ་》《སྣར་》,སྦྱོང་།,
,,367,9,《པེ་》《སྣར་》,mབ།,
,,368,10,《པེ་》《སྣར་》,འབྱུང་།,
,,369,11,《སྣར་》,mཔ།,
,,370,12,《སྣར་》,མ།,
,,371,13,《པེ་》《སྣར་》,བགོད།,
,113,372,1,《པེ་》《སྣར་》,སྦྱོང་།,
,,373,2,《པེ་》《སྣར་》,རམ།,
,,374,3,《པེ་》《སྣར་》,པའི།,
,,375,4,《པེ་》《སྣར་》,pདགེ་སློང་།,
,,376,5,《པེ་》《སྣར་》,ཆེ།,
,,377,6,《པེ་》《སྣར་》,བཏང་།,
,,378,7,《པེ་》《སྣར་》,pལ།,
,,379,8,《པེ་》《སྣར་》,pནི།,
,,380,9,《པེ་》《སྣར་》,ནས།,
,,381,10,《པེ་》《སྣར་》,pནི།,
,,382,11,《པེ་》《སྣར་》,པ།,
,114,383,1,《པེ་》《སྣར་》,འགྲོགས།,
,,384,2,《པེ་》《སྣར་》,གྱུར་པ།,
,,385,3,《པེ་》《སྣར་》,མདུན།,
,,386,4,《པེ་》《སྣར་》,སྤྱད།,
,,387,5,《པེ་》《སྣར་》,ཆགས་པར།,
,,388,6,《པེ་》《སྣར་》,གྱུར་པ།,
,,389,7,《སྣར་》,འགྱུར་བའོ།,
,115,390,1,《པེ་》《སྣར་》,ཚོལ།,
,,391,2,《པེ་》《སྣར་》,ཞུགས།,
,,392,3,《པེ་》《སྣར་》,མ།,
,,393,4,《པེ་》《སྣར་》,pཀུན་ཏུ།,
,,394,5,《པེ་》《སྣར་》,སྲེད།,
,116,395,1,《པེ་》《སྣར་》,འགྱུར་བ།,
,,396,2,《སྣར་》,ཟློག,
,,397,3,《པེ་》《སྣར་》,pནི།,
,,398,4,《པེ་》《སྣར་》,ཟ་བ།,
,,399,5,《སྣར་》,བརྟོན།,
,117,400,1,《པེ་》《སྣར་》,ཚོགས།,
,,401,2,《པེ་》《སྣར་》,mགདོང་ཁྲོ།,
,,402,3,《པེ་》《སྣར་》,ནས།,
,,403,4,《པེ་》《སྣར་》,པའོ།,
,118,404,1,《པེ་》《སྣར་》,mཔར་བྱེད།,
,,405,2,《པེ་》《སྣར་》,རྩམས།,
,,406,3,《པེ་》《སྣར་》,གྱུར།,
,119,407,1,《པེ་》《སྣར་》,རྟོགས།,
,,408,2,《པེ་》《སྣར་》,mཀྱི།,
,,409,3,《པེ་》《སྣར་》,རྟོགས།,
,,410,4,《པེ་》《སྣར་》,mདུ།,
,,411,5,《པེ་》《སྣར་》,པ།,
,,412,6,《པེ་》《སྣར་》,གིས།,
,,413,7,《སྣར་》,pམ།,
,,414,8,《པེ་》《སྣར་》,mདུ།,
,,415,9,《པེ་》《སྣར་》,པའོ།,
,,416,10,《པེ་》《སྣར་》,mདང་།,
,,417,11,《པེ་》《སྣར་》,mནི།,
,120,418,1,《པེ་》《སྣར་》,འགག,
,,419,2,《པེ་》《སྣར་》,པ་ལའོ།,
,,420,3,《སྣར་》,ལོངས་པར།,
,,421,4,《པེ་》《སྣར་》,བྱེད་པའོ།,
,121,422,1,《པེ་》《སྣར་》,pབ།,
,,423,2,《པེ་》,རྟོགས།,《སྣར་》,རྟོག
,,424,3,《པེ་》《སྣར་》,བླངས་ཏེ།,
,,425,4,《པེ་》《སྣར་》,pམེད་པ།,
,,426,5,《པེ་》《སྣར་》,མཐའ།,
,,427,6,《པེ་》《སྣར་》,སྐྱོད།,
,,428,7,《པེ་》《སྣར་》,mནི།,
,,429,8,《པེ་》《སྣར་》,mལས།,
,122,430,1,《པེ་》,གཟུང་།,
,,431,2,《པེ་》《སྣར་》,pཆེ་ལོང་།,
,,432,3,《པེ་》《སྣར་》,mཡང་།,
,,433,4,《སྣར་》,ཀྱི།,
,,434,5,《པེ་》《སྣར་》,pབརྟག་ཅིང་།,
